Date,Returns
2017-03-31,0.0011127832833771386
2017-04-03,0.00033669455173571637
2017-04-04,-0.003416338393397612
2017-04-05,0.0010023208206300918
2017-04-06,-0.004310387566809001
2017-04-07,-0.002091472233419404
2017-04-10,0.000577140242826635
2017-04-11,0.0009584594465668003
2017-04-12,0.00015905419714811863
2017-04-13,-0.00029644968854273743
2017-04-17,0.0004327421134944062
2017-04-18,-0.0011075042899534725
2017-04-19,0.002310971315985302
2017-04-20,0.0014561683939565162
2017-04-21,0.0052349185275965895
2017-04-24,0.004106125108675475
2017-04-25,-7.068461859007901e-06
2017-04-26,0.0030390446212055803
2017-04-27,0.0023577462474500383
2017-04-28,0.0007642307910073367
2017-05-01,-0.0011709957947821175
2017-05-02,8.069095216331089e-05
2017-05-03,-0.002887080205605721
2017-05-04,0.001027781219103983
2017-05-05,-0.002050132397255945
2017-05-08,-0.0018626070846793756
2017-05-09,-0.0010232810252451792
2017-05-10,-0.003384266135834323
2017-05-11,-0.003552761855962004
2017-05-12,-0.002344938919403414
2017-05-15,0.0014932257195682352
2017-05-16,-0.0019209615352234596
2017-05-17,-0.0020252199579067036
2017-05-18,-0.003598047285624541
2017-05-19,-0.0027457979180181566
2017-05-22,0.0007961354775492293
2017-05-23,0.00028439345609764845
2017-05-24,-0.00031134063884833037
2017-05-25,0.003260977621001721
2017-05-26,0.0017200201143748543
2017-05-30,0.001188016210559391
2017-05-31,0.001183312587188593
2017-06-01,-0.002009364952454621
2017-06-02,0.001004663507339032
2017-06-05,-0.0021820251543531875
2017-06-06,-0.002957762931148745
2017-06-07,0.0029872320839009966
2017-06-08,-0.003170818969325011
2017-06-09,-0.0027122917517682713
2017-06-12,-0.002457944936671505
2017-06-13,-0.00195380675471459
2017-06-14,-0.0027391119228637566
2017-06-15,0.0005528066235752651
2017-06-16,-0.0016099504007704357
2017-06-19,0.0008974811162293897
2017-06-20,-0.001373638205751324
2017-06-21,0.003913680961786544
2017-06-22,-0.0014788219944190956
2017-06-23,-0.0003393221288745579
2017-06-26,-0.001751655165919815
2017-06-27,-0.0010911612359499742
2017-06-28,-0.0011134962518168133
2017-06-29,-0.0023138364354305624
2017-06-30,0.000927785483090561
2017-07-03,-0.0031462086343592597
2017-07-05,0.002763310324018839
2017-07-06,0.002832138958678845
2017-07-07,0.00014013015302773981
2017-07-10,-0.002541652584803367
2017-07-11,-0.0006908259996076699
2017-07-12,-0.0002553890774908877
2017-07-13,-0.00589754082058128
2017-07-14,-0.0006717494779721715
2017-07-17,-0.002246465063003534
2017-07-18,-0.0024006638748078866
2017-07-19,-0.00130970892345063
2017-07-20,-0.001919975862685198
2017-07-21,-0.0012040880896192897
2017-07-24,0.001278499432372036
2017-07-25,0.0006769910401690542
2017-07-26,0.0034120184874646326
2017-07-27,-0.006940837493854636
2017-07-28,0.005143080683800793
2017-07-31,-0.0034877556827004495
2017-08-01,0.0032504089651767504
2017-08-02,0.00023297913137557656
2017-08-03,0.005437322113583918
2017-08-04,-0.003163816118471402
2017-08-07,0.002543056618964263
2017-08-08,-0.003699647727457598
2017-08-09,0.0016799312098273555
2017-08-10,0.004539006954377604
2017-08-11,0.00015423412507410656
2017-08-14,0.0028191737657191768
2017-08-15,0.001523251089679773
2017-08-16,0.0013257566948472695
2017-08-17,0.0027804419797827686
2017-08-18,-0.0013002195018112783
2017-08-21,-0.0003594852099878397
2017-08-22,0.0020288827194036526
2017-08-23,3.0036258083413142e-05
2017-08-24,0.0011709918854169313
2017-08-25,-9.78729631359635e-05
2017-08-28,0.006642330856963832
2017-08-29,0.002877357267478567
2017-08-30,0.0011495910725372706
2017-08-31,0.0019951781284052554
2017-09-01,-0.0037655531092746198
2017-09-05,0.0012058132413089468
2017-09-06,-0.0010351713035900193
2017-09-07,0.004048250108631268
2017-09-08,-0.0030906786627020255
2017-09-11,-0.00553217889879875
2017-09-12,-0.0027917763760134735
2017-09-13,-0.0025399046840012154
2017-09-14,0.0013386551019794963
2017-09-15,0.0016462660750307765
2017-09-18,0.0027135489634059736
2017-09-19,-0.00038477336815246265
2017-09-20,-0.005554691812414225
2017-09-21,-0.0033493365445789293
2017-09-22,-0.0004983269620859564
2017-09-25,-0.0015063907802626768
2017-09-26,-0.0016484037236663938
2017-09-27,0.0017268502423114541
2017-09-28,-0.000498639575027297
2017-09-29,-0.00013045302364321412
2017-10-02,-0.001911381514837487
2017-10-03,-0.0006583848589380779
2017-10-04,0.003293064726737792
2017-10-05,-0.0031715994295188387
2017-10-06,0.00312222613053496
2017-10-09,-0.0011549296096007695
2017-10-10,0.0032819005234785608
2017-10-11,-0.0005543018999899611
2017-10-12,-0.0032213524413406535
2017-10-13,-0.00035289375884020206
2017-10-16,-0.00252384526163075
2017-10-17,-0.0021110693315840043
2017-10-18,0.00275535108141877
2017-10-19,0.0016900870333262296
2017-10-20,3.66738851859826e-05
2017-10-23,0.0021800983643373373
2017-10-24,-0.00030062043631484616
2017-10-25,0.0002590802707310399
2017-10-26,-0.006455780250244075
2017-10-27,-0.007212552760278106
2017-10-30,-0.0014548526353542442
2017-10-31,0.001206129362122117
2017-11-01,0.008108204604270442
2017-11-02,-0.0009189791871032698
2017-11-03,-0.0012124024791156586
2017-11-06,-0.009116413234555261
2017-11-07,0.010211015790398768
2017-11-08,0.0018761610535553133
2017-11-09,-0.006535812706421421
2017-11-10,0.0026253071899938157
2017-11-13,-0.0025900285308039957
2017-11-14,-0.0023159122693497823
2017-11-15,-0.003077347094000105
2017-11-16,-0.0017322279712698738
2017-11-17,-0.003268652368415518
